-37,140,-55,148
-24,120,-62,125
-32,125,-69,130
-23,124,-71,125
-38,128,-45,153
-68,95,-49,130
-73,103,-29,159
-90,114,-17,133
-86,111,-36,135
-67,123,-62,109
-40,134,-89,86
-19,162,-56,92
-53,129,-67,108
-41,132,-83,131
-46,126,-73,127
-56,124,-52,116
-88,115,-53,122
-78,134,-73,130
-71,134,-55,133
-83,101,-63,157
-108,86,-40,131
-97,117,-60,113
-92,133,-78,106
-26,117,-110,119
-34,149,-97,119
-66,91,-53,113
-94,129,-61,134
-77,113,-83,119
-58,132,-73,133
-63,109,-79,126
-50,141,-50,123
-81,121,-72,102
-85,132,-51,120
-79,114,-62,120
-93,138,-84,99
-78,134,-84,107
-29,142,-71,116
-56,103,-66,127
-74,126,-65,119
-64,125,-91,117
-69,120,-77,116
-69,113,-66,126
-97,127,-44,116
-101,125,-66,124
-61,82,-74,134
-77,100,-80,112
-67,125,-86,107
-39,132,-55,127
-70,117,-54,118
-76,96,-82,121
-71,133,-79,98
-102,103,-60,105
-74,115,-93,122
-97,128,-72,122
-75,128,-58,101
-100,123,-92,114
-79,85,-116,144
-42,91,-80,121
-85,110,-97,98
-80,150,-100,112
-72,125,-96,99
-61,115,-90,109
-100,114,-86,123
-109,99,-98,129
-61,106,-75,121
-86,105,-100,120
-85,94,-94,114
-106,154,-53,72
-92,112,-79,116
-59,117,-77,105
-80,96,-83,122
-97,104,-79,114
-85,102,-82,115
-85,111,-92,119
-90,75,-93,124
-73,129,-100,84
-81,114,-68,111
-76,113,-91,75
-99,122,-82,80
-108,89,-77,82
-121,83,-79,87
-118,88,-90,94
-96,85,-105,95
-79,105,-106,96
-89,104,-88,117
-82,100,-87,67
-111,89,-117,124
-59,87,-121,93
-81,84,-122,128
-98,96,-82,92
-121,127,-64,78
-121,97,-86,114
-95,86,-92,92
-117,98,-105,96
-80,101,-106,93
-67,111,-97,95
-82,92,-116,100
-116,104,-71,102
-102,101,-102,89
-85,81,-114,89
-105,92,-95,96
-91,93,-95,94
-96,89,-92,114
-76,86,-99,84
-87,100,-106,91
-91,88,-105,101
-89,84,-126,106
-85,82,-110,112
-135,82,-101,65
-105,104,-102,82
-109,86,-98,93
-114,104,-80,101
-115,97,-106,98
-102,77,-110,104
-91,99,-94,68
-119,104,-93,102
-107,107,-99,90
-100,92,-95,88
-100,73,-99,114
-76,115,-125,90
-113,92,-79,81
-119,84,-109,64
-97,107,-101,87
-122,82,-92,92
-119,100,-101,74
-119,84,-124,98
-100,62,-113,106
-116,87,-98,94
-114,88,-113,81
-81,88,-124,83
-93,93,-94,90
-98,97,-105,75
-100,76,-109,75
-108,69,-131,91
-119,104,-112,92
-110,51,-81,83
-147,75,-103,84
-102,82,-113,74
-102,89,-128,98
-97,73,-125,76
-117,84,-124,60
-126,81,-134,78
-118,84,-107,83
-134,88,-82,103
-108,88,-107,72
-113,64,-116,73
-103,50,-110,65
-128,50,-132,94
-111,73,-91,71
-118,75,-115,69
-108,77,-110,95
-119,89,-107,73
-124,71,-117,66
-112,93,-95,63
-124,91,-125,77
-106,97,-110,78
-135,68,-114,46
-86,79,-122,91
-104,56,-135,96
-99,53,-145,82
-99,69,-114,49
-136,78,-121,75
-97,80,-133,73
-113,75,-116,56
-84,93,-117,51
-125,82,-125,74
-128,65,-122,82
